"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"306",31,"Male","United States","OR","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"307",58,"Male","United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Yes","No"
"308",29,"Male","United States","OH","No","No","No","Sometimes","44372","No","Yes","Don't know","No","No","No","Don't know","Very difficult","Yes","No","No","No","No","Maybe","No","No"
"309",34,"Male","United States","OH","No","No","No","Sometimes","44372","Yes","Yes","Don't know","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"310",57,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","Maybe","No","No","No","Maybe","Don't know","No"
"311",30,"Female","United States","NY","No","No","No","NA","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"312",23,"Male","United States","VA","No","No","No","Never","26-100","No","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"313",43,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Maybe","No","No","No","Yes","Don't know","No"
"314",29,"Male","United States","IL","No","No","Yes","Rarely","44372","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"315",48,"Male","United States","TX","No","No","No","Never","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"316",28,"Female","United States","NY","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","No"
"317",30,"Male","United States","CA","Yes","Yes","Yes","Often","44201","Yes","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No"
"318",31,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Don't know","No","No","No","Some of them","No","No","Yes","No"
"319",30,"Male","United States","PA","No","No","No","Rarely","100-500","No","No","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"320",24,"Female","United States","CA","Yes","Yes","Yes","Sometimes","44201","Yes","Yes","No","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"321",25,"Male","United States","WA","No","No","No","NA","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"322",23,"Female","United States","NY","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Yes","Yes"
"323",36,"Male","United States","TX","No","No","Yes","Sometimes","More than 1000","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","No","No","No","No","Yes"
"324",25,"Female","United States","California","Yes","Yes","Yes","Often","44201","Yes","Yes","Don't know","Not sure","No","No","Yes","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","No","Yes"
"325",38,"Female","United States","AZ","No","No","Yes","NA","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","Maybe","No","No","No","No","No","No"
"326",35,"Female","United States","OH","No","No","Yes","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","No","No"
"327",46,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Yes","No"
"328",42,"Male","United States","KS","No","No","No","Never","100-500","No","No","Yes","No","Yes","No","Don't know","Very difficult","Maybe","No","Yes","Yes","Maybe","Yes","No","No"
"329",47,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Very easy","No","No","Some of them","Yes","No","Yes","Yes","No"
"330",22,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"331",33,"Female","United States","NY","No","No","Yes","Sometimes","500-1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Don't know","No"
"332",25,"Female","United States","WA","No","No","No","Sometimes","44372","No","Yes","No","No","No","No","No","Somewhat easy","Maybe","No","Some of them","No","No","No","Yes","No"
"333",29,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"334",39,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No"
"335",38,"Male","United States","VA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Yes","Don't know","Yes","No","No","No","No","No","No","No"
"336",43,"Male","United States","NC","No","No","No","NA","44372","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"337",46,"Male","United States","OH","No","No","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"338",38,"Female","United States","PA","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Yes","Yes","No","No","No","Yes"
"339",62,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"340",23,"Female","United States","TX","No","No","No","NA","More than 1000","No","No","Don't know","Not sure","Don't know","Don't know","Yes","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"341",35,"Male","United States","AZ","No","No","No","NA","More than 1000","No","No","No","No","No","No","Don't know","Don't know","Maybe","Maybe","No","No","No","No","No","No"
"342",36,"Male","United States","IL","Yes","Yes","Yes","Sometimes","44201","Yes","Yes","Don't know","Yes","Don't know","No","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Yes","Yes","No"
"343",41,"Female","United States","NA","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"344",29,"Male","United States","NC","No","No","Yes","Sometimes","44372","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","No","Some of them","No","No","Yes","No"
"345",39,"Male","United States","WI","No","Yes","Yes","Often","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","No","Some of them","Yes","No","No","No","No"
"346",26,"Male","United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","No","No"
"347",22,"Female","United States","CA","No","Yes","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","No","Yes"
"348",26,"Female","United States","MN","No","Yes","Yes","Often","100-500","No","No","Don't know","No","No","No","Don't know","Somewhat difficult","Maybe","No","No","No","No","Maybe","No","No"
"349",31,"Female","United States","PA","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"350",28,"Female","United States","CA","No","Yes","Yes","Often","100-500","Yes","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","No","No","Yes"
"351",36,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","No","No","Yes","Don't know","Somewhat difficult","Yes","No","Some of them","Yes","No","Yes","No","No"
"352",21,"Male","United States","CA","No","Yes","No","NA","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"353",25,"Female","United States","CA","No","Yes","No","NA","500-1000","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"354",33,"Male","United States","NY","No","No","No","NA","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"355",24,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","not sure","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"356",65,"Male","United States","FL","Yes","No","No","NA","44372","Yes","No","No","No","No","No","Don't know","Very easy","Maybe","No","Some of them","No","No","No","Yes","No"
"357",27,"Male","United States","OR","No","Yes","Yes","Sometimes","100-500","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","No","No","No","Yes","No"
"358",36,"Male","United States","CO","No","No","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"359",28,"Male","United States","GA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Some of them","No","No","Maybe","No","No"
"360",39,"Male","United States","OR","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Not sure","Yes","Don't know","Yes","Don't know","Yes","Maybe","Yes","Yes","No","Maybe","Don't know","No"
"361",32,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","No","No","Yes","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Yes","Don't know","No"
"362",31,"Male","United States","CA","No","Yes","No","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Somewhat easy","Maybe","No","No","Some of them","No","Yes","No","No"
"363",38,"Male","United States","PA","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"364",23,"2","United States","CA","No","Yes","Yes","Rarely","44201","No","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Yes","No"
"365",42,"Male","United States","CA","No","No","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","Yes","Yes","Maybe","Maybe","Don't know","No"
"366",27,"Female","United States","NY","No","No","No","Sometimes","500-1000","No","Yes","Don't know","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Yes","No"
"367",26,"Female","United States","MA","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","No","No","No","Yes"
"368",50,"Male","United States","NA","No","No","No","Never","26-100","Yes","Yes","No","Yes","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","No","No"
"369",37,"Male","United States","PA","No","Yes","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"370",23,"Male","United States","RI","No","No","No","NA","26-100","No","Yes","Don't know","No","Don't know","No","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No"
"371",33,"Male","United States","MI","No","Yes","No","Sometimes","44372","Yes","Yes","Don't know","Not sure","No","No","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"372",34,"Male","United States","IL","No","Yes","Yes","Sometimes","26-100","Yes","No","Yes","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"373",41,"Male","United States","CA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","Yes"
"374",50,"Male","United States","OR","No","Yes","No","NA","100-500","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"375",35,"Male","United States","IN","No","No","No","Never","44372","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"376",40,"Female","United States","MA","No","No","No","Never","26-100","No","No","Don't know","Not sure","No","No","Don't know","Somewhat easy","Maybe","Maybe","Yes","Yes","Maybe","Maybe","Don't know","No"
"377",29,"Female","United States","MI","No","No","No","Never","26-100","No","Yes","Yes","Yes","Yes","No","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"378",31,"Male","United States","OH","No","Yes","Yes","Sometimes","44372","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","No","Yes","Yes","No","Maybe","Don't know","No"
"379",43,"Male","United States","OH","No","No","Yes","Sometimes","44372","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","Maybe","Don't know","No"
"380",34,"Male","United States","NH","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Yes","Don't know","Yes"
"381",29,"Male","United States","OH","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","No","Somewhat difficult","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No"
"382",41,"Male","United States","TN","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","No","No"
"383",29,"Male","United States","OR","No","Yes","No","Never","100-500","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"384",23,"Male","United States","PA","No","No","No","Rarely","100-500","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Yes","No"
"385",24,"Female","United States","NA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","No","No","No","No","Yes"
"386",31,"Male","United States","NY","No","No","No","NA","26-100","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"387",43,"Male","United States","WA","No","No","No","NA","500-1000","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No"
"388",31,"Male","United States","NY","No","Yes","Yes","Rarely","100-500","No","Yes","No","No","No","Don't know","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","No","No","Yes"
"389",29,"Male","United States","CA","No","Yes","No","Often","100-500","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"390",35,"Male","United States","TN","Yes","Yes","No","NA","44372","Yes","Yes","No","No","Yes","Yes","Don't know","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No"
"391",33,"Male","United States","WI","No","Yes","Yes","Sometimes","100-500","No","No","Yes","Not sure","No","No","Yes","Somewhat difficult","Yes","Yes","No","No","No","No","No","No"
"392",30,"Female","United States","WI","Yes","Yes","Yes","Often","44201","Yes","No","No","Yes","No","Yes","Yes","Somewhat difficult","No","No","Yes","Yes","No","No","Yes","No"
"393",27,"Male","United States","PA","No","No","No","NA","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Don't know","Maybe","Maybe","No","No","No","Maybe","No","No"
"394",32,"Male","United States","MI","No","No","No","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","No","No"
"395",50,"Male","United States","WY","No","No","No","Sometimes","44201","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"396",24,"Male","United States","KY","No","No","No","Never","26-100","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","Yes","Some of them","No","No","Maybe","No","No"
"397",27,"Male","United States","NY","No","No","No","NA","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Yes","No"
"398",32,"Male","United States","TX","No","No","Yes","Sometimes","44372","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"399",42,"Male","United States","WI","Yes","No","No","Rarely","44372","Yes","No","No","Yes","No","No","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"400",37,"Male","United States","WA","No","No","No","Often","More than 1000","No","No","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","No","No"
"401",29,"Male","United States","WA","No","No","No","Rarely","More than 1000","No","Yes","Yes","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"402",30,"Male","United States","GA","Yes","No","Yes","Often","44372","Yes","Yes","No","Not sure","No","Yes","Don't know","Somewhat difficult","No","No","Yes","Yes","No","Maybe","Yes","No"
"403",35,"Male","United States","MI","No","No","No","Never","26-100","No","Yes","Yes","No","Yes","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"404",35,"Male","United States","MD","No","Yes","Yes","Rarely","100-500","Yes","No","Yes","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","No","No","Maybe","No","No"
"405",31,"Female","United States","WA","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"406",23,"Female","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Maybe","No","No","No","No","Don't know","No"
"407",31,"Female","United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"408",28,"Female","United States","CA","No","Yes","Yes","Rarely","500-1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Somewhat difficult","Maybe","No","No","Some of them","No","No","No","No"
"409",34,"Male","United States","CA","Yes","Yes","Yes","Sometimes","44372","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Some of them","Some of them","No","No","No","No"
"410",28,"Male","United States","MI","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","No","Don't know","Yes"
"411",56,"Male","United States","MA","No","Yes","Yes","Rarely","44372","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"412",34,"Female","United States","CA","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No"
"413",35,"Male","United States","NA","Yes","No","No","NA","44201","Yes","Yes","Yes","Not sure","No","No","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"414",57,"Male","United States","CA","No","No","No","Never","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat difficult","Yes","Maybe","No","No","No","Maybe","Don't know","Yes"
"415",39,"Male","United States","FL","No","No","No","Rarely","More than 1000","Yes","No","Don't know","No","Yes","Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"416",32,"Male","United States","WA","No","No","Yes","Never","500-1000","No","No","Yes","Not sure","Yes","Yes","Don't know","Very easy","Maybe","No","No","No","No","No","Yes","No"
"417",32,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"418",23,"Male","United States","NC","No","Yes","No","Sometimes","44372","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"419",28,"Male","United States","IL","No","No","Yes","Sometimes","26-100","Yes","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"420",29,"Female","United States","OH","No","Yes","Yes","Rarely","44372","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","No","No","No","No","No","Don't know","No"
"421",45,"Male","United States","VA","No","No","Yes","Often","44201","Yes","Yes","Yes","Not sure","No","Yes","Don't know","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No"
"422",38,"Male","United States","MN","No","No","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"423",19,"Trans","United States","MO","No","Yes","Yes","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","Maybe","No","No"
"424",33,"Female","United States","NC","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"425",49,"Male","United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Not sure","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","Some of them","Yes","No","No","Yes","No"
"426",28,"Male","United States","NM","No","No","No","NA","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"427",39,"Female","United States","TX","No","No","No","NA","More than 1000","Yes","No","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","No","No","No","Maybe","No","No"
"428",29,"Male","United States","SC","No","No","No","NA","44372","No","Yes","No","No","No","Don't know","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"429",30,"Male","United States","FL","No","No","No","NA","100-500","No","No","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"430",33,"Male","United States","WA","Yes","Yes","Yes","Rarely","44201","Yes","Yes","No","Yes","Yes","Yes","No","Very difficult","No","No","Yes","Yes","No","No","Yes","Yes"
"431",37,"Male","United States","CA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Maybe","No","Yes","Yes","No","No","Don't know","No"
"432",23,"Male","United States","OH","No","No","Yes","Often","26-100","No","No","Yes","Yes","Yes","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"433",43,"Male","United States","TN","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Not sure","No","Yes","Don't know","Somewhat easy","Yes","No","No","No","No","No","No","No"
"434",26,"Male","United States","NY","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","No","No"
"435",32,"Male","United States","NY","Yes","No","Yes","Sometimes","44201","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"436",37,"Female","United States","MO","No","No","No","NA","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","No","Don't know","No"
"437",29,"Male","United States","NY","No","No","Yes","Often","26-100","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"438",30,"Male","United States","TN","No","Yes","No","Never","100-500","No","Yes","Don't know","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"439",29,"Male","United States","CO","No","No","No","Never","44372","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","No","No","No","No"
"440",32,"Male","United States","PA","Yes","Yes","Yes","Sometimes","44201","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","No","No","No"
"441",37,"Male","United States","NY","Yes","No","No","NA","44372","Yes","Yes","Yes","Yes","Yes","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"442",27,"Male","United States","MN","No","No","No","NA","26-100","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"443",25,"Male","United States","MO","No","Yes","Yes","Never","44372","Yes","Yes","Don't know","No","Yes","Don't know","Don't know","Don't know","Yes","No","Some of them","Yes","No","No","No","No"
"444",33,"Male","United States","WY","No","Yes","Yes","Sometimes","44201","No","No","No","Yes","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"445",29,"Male","United States","MN","No","No","No","NA","More than 1000","No","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","No","No"
"446",29,"Male","United States","MD","No","No","No","NA","44372","Yes","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Yes","Yes","No","No","Don't know","No"
"447",31,"Male","United States","KY","No","No","No","NA","26-100","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"448",NA,"Male","United States","OH","No","No","No","NA","100-500",NA,"Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"449",43,"Male","United States","NY","No","No","No","NA","More than 1000","No","No","Yes","Yes","Don't know","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"450",36,"Male","United States","TN","No","Yes","Yes","Sometimes","More than 1000","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"451",31,"Male","United States","TX","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"452",36,"Male","United States","OH","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"453",30,"Male","United States","TX","Yes","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","Yes","Don't know","No"
"454",35,"Male","United States","CA","No","Yes","Yes","Rarely","44372","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"455",37,"Male","United States","MI","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"456",36,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"457",29,"Female","United States","OR","No","Yes","Yes","Sometimes","26-100","Yes","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"458",38,"Female","United States","NC","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"459",26,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat difficult","Yes","Maybe","No","No","No","Maybe","No","No"
